WORD COUNT,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,Average Word Length,Syllable_Count,Complex_Word_Count,Number_of_Sentences,PERSONAL PRONOUNS,Average Sentence Length,Percentage of Complex words,Fog Index,AVG NUMBER OF WORDS PER SENTENCE
9102,66,33,0.33333332996633,0.010452961671370187,1.1741375521863326,3067,705,77,8,118.20779220779221,0.07745550428477257,47.314099084830794,162.8181818181818
5233,59,39,0.2040816305705956,0.01736357193172155,1.4156315688897383,2102,334,70,19,74.75714285714285,0.06382572138352761,29.928387431410552,126.98571428571428
7812,68,36,0.30769230473372783,0.01258775114831908,1.2446236559139785,2783,598,87,11,89.79310344827586,0.0765488991295443,35.947860938962165,132.01149425287358
5829,59,24,0.42168674190738864,0.013222877168516348,1.4096757591353577,2390,429,84,8,69.39285714285714,0.07359752959341224,27.78658186898022,117.63095238095238
6995,51,22,0.39726026853068125,0.009806555613943235,1.318227305218013,2656,505,74,24,94.52702702702703,0.07219442458899214,37.83968858064641,148.63513513513513
4932,46,24,0.31428570979591847,0.013295346626154728,1.3633414436334144,1924,341,55,18,89.67272727272727,0.06914030819140309,35.89674703236747,146.0909090909091
3215,29,12,0.4146341362284357,0.011911679252785683,1.3051321928460342,1206,236,46,8,69.8913043478261,0.0734059097978227,27.98588410304957,109.17391304347827
382,3,0,0.9999996666667778,0.007444168716019432,1.1204188481675392,125,26,4,0,95.5,0.06806282722513089,38.227225130890055,126.25
2912,40,14,0.48148147256515794,0.01721389862377625,1.3231456043956045,1046,205,37,5,78.70270270270271,0.07039835164835165,31.509240421740426,124.91891891891892
8368,67,40,0.2523364462398463,0.01214253290829068,1.3442877629063097,3351,647,83,6,100.81927710843374,0.07731835564053537,40.35863818562971,162.32530120481928
7867,48,60,-0.11111111008230454,0.012812907816726431,1.2966823439684758,2834,578,91,11,86.45054945054945,0.07347146307359857,34.60960836544922,133.0879120879121
5541,38,19,0.33333332748538025,0.00979549750647955,1.2477892077242374,2011,435,57,15,97.21052631578948,0.07850568489442339,38.915612800273564,143.21052631578948
5218,30,24,0.11111110905349798,0.009617097059729813,1.274051360674588,1908,366,71,6,73.49295774647888,0.07014181678804139,29.425239825306768,111.64788732394366
5907,66,24,0.46666666148148156,0.014423076920765531,1.4321990858303708,2444,421,65,27,90.87692307692308,0.0712713729473506,36.379277779948175,156.6769230769231
6439,62,23,0.4588235240138409,0.01237803989917314,1.3132473986643889,2429,459,79,18,81.50632911392405,0.07128436092560957,32.631045389939864,127.32911392405063
2648,29,0,0.9999999655172426,0.010405453889341424,1.2035498489425982,934,203,24,2,110.33333333333333,0.07666163141993958,44.16399798590131,156.66666666666666
6262,83,39,0.3606557347487235,0.019206549115364208,1.444746087511977,2622,422,10,24,626.2,0.06739061002874482,250.50695624401152,1093.7
3326,23,0,0.999999956521741,0.006433566431766835,1.2925435959110043,1252,251,46,14,72.30434782608695,0.07546602525556223,28.951925540537008,111.3695652173913
3562,17,6,0.4782608487712674,0.006149732618676542,1.2108366086468276,1236,261,43,5,82.83720930232558,0.07327344188658057,33.164193097684866,118.30232558139535
1030,3,3,0.0,0.0054545454495867765,1.3281553398058252,378,70,9,2,114.44444444444444,0.06796116504854369,45.8049622437972,179.33333333333334
382,3,0,0.9999996666667778,0.007444168716019432,1.1204188481675392,125,26,4,0,95.5,0.06806282722513089,38.227225130890055,126.25
5903,27,67,-0.4255319103666818,0.015068932347696547,1.2795188887006608,2121,403,58,9,101.77586206896552,0.06827037099779773,40.73765297598533,155.22413793103448
